"last","first","middle","TITLE","ORCID"
"Gedutienė","Reda",NA,"distance learning in higher education during covid19 the role of basic psychological needs and intrinsic motivation for persistence and procrastinationa multicountry study",NA
"Borg Axisa","Glorianne",NA,"distance learning in higher education during covid19 the role of basic psychological needs and intrinsic motivation for persistence and procrastinationa multicountry study",NA
"Avirovic Bundalevska","Irena",NA,"distance learning in higher education during covid19 the role of basic psychological needs and intrinsic motivation for persistence and procrastinationa multicountry study",NA
"Keskinova","Angelka",NA,"distance learning in higher education during covid19 the role of basic psychological needs and intrinsic motivation for persistence and procrastinationa multicountry study",NA
"Radulovic","Makedonka",NA,"distance learning in higher education during covid19 the role of basic psychological needs and intrinsic motivation for persistence and procrastinationa multicountry study",NA
"Cautisanu","Cristina",NA,"distance learning in higher education during covid19 the role of basic psychological needs and intrinsic motivation for persistence and procrastinationa multicountry study",NA
"Voda","Ana","Iolanda","distance learning in higher education during covid19 the role of basic psychological needs and intrinsic motivation for persistence and procrastinationa multicountry study",NA
"Gao","Shang",NA,"distance learning in higher education during covid19 the role of basic psychological needs and intrinsic motivation for persistence and procrastinationa multicountry study",NA
"Islam","Sirajul",NA,"distance learning in higher education during covid19 the role of basic psychological needs and intrinsic motivation for persistence and procrastinationa multicountry study",NA
"Wistrand","Kai",NA,"distance learning in higher education during covid19 the role of basic psychological needs and intrinsic motivation for persistence and procrastinationa multicountry study",NA
"Koschorke","Mirja",NA,"perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"Oexle","Nathalie",NA,"perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"Ouali","Uta",NA,"perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"Cherian","Anish","V.","perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"Deepika","Vayankarappadam",NA,"perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"Mendon","Gurucharan","Bhaskar","perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"Gurung","Dristy",NA,"perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"Kondratova","Lucie",NA,"perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"Muller","Matyas",NA,"perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"Lanfredi","Mariangela",NA,"perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"Lasalvia","Antonio",NA,"perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"Bodrogi","Andrea",NA,"perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"Nyulászi","Anna",NA,"perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"Tomasini","Mario",NA,"perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"El Chammay","Rabih",NA,"perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"Abi Hana","Racha",NA,"perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"Zgueb","Yosra",NA,"perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"Nacef","Fethi",NA,"perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"Heim","Eva",NA,"perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"Aeschlimann","Anaïs",NA,"perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"Souraya","Sally",NA,"perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"Milenova","Maria",NA,"perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"van Ginneken","Nadja",NA,"perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"Thornicroft","Graham",NA,"perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"Kohrt","Brandon","A.","perspectives of healthcare providers service users and family members about mental illness stigma in primary care settings a multisite qualitative study of seven countries in africa asia and europe",NA
"Kilian","Carolin",NA,"conducting a multicountry online alcohol survey in the time of the covid19 pandemic opportunities and challenges",NA
"Rehm","Jürgen",NA,"conducting a multicountry online alcohol survey in the time of the covid19 pandemic opportunities and challenges",NA
"Allebeck","Peter",NA,"conducting a multicountry online alcohol survey in the time of the covid19 pandemic opportunities and challenges",NA
"Barták","Miroslav",NA,"conducting a multicountry online alcohol survey in the time of the covid19 pandemic opportunities and challenges",NA
"Braddick","Fleur",NA,"conducting a multicountry online alcohol survey in the time of the covid19 pandemic opportunities and challenges",NA
"Gual","Antoni",NA,"conducting a multicountry online alcohol survey in the time of the covid19 pandemic opportunities and challenges",NA
"Matrai","Silvia",NA,"conducting a multicountry online alcohol survey in the time of the covid19 pandemic opportunities and challenges",NA
"Petruželka","Benjamin",NA,"conducting a multicountry online alcohol survey in the time of the covid19 pandemic opportunities and challenges",NA
"Rogalewicz","Vladimir",NA,"conducting a multicountry online alcohol survey in the time of the covid19 pandemic opportunities and challenges",NA
"Rossow","Ingeborg",NA,"conducting a multicountry online alcohol survey in the time of the covid19 pandemic opportunities and challenges",NA
"Schulte","Bernd",NA,"conducting a multicountry online alcohol survey in the time of the covid19 pandemic opportunities and challenges",NA
"Štelemėkas","Mindaugas",NA,"conducting a multicountry online alcohol survey in the time of the covid19 pandemic opportunities and challenges",NA
"Manthey","Jakob",NA,"conducting a multicountry online alcohol survey in the time of the covid19 pandemic opportunities and challenges",NA
"Reyes-García","Victoria",NA,"happy just because a crosscultural study on subjective wellbeing in three indigenous societies",NA
"Gallois","Sandrine",NA,"happy just because a crosscultural study on subjective wellbeing in three indigenous societies",NA
"Pyhälä","Aili",NA,"happy just because a crosscultural study on subjective wellbeing in three indigenous societies",NA
"Díaz-Reviriego","Isabel",NA,"happy just because a crosscultural study on subjective wellbeing in three indigenous societies",NA
"Fernández-Llamazares","Álvaro",NA,"happy just because a crosscultural study on subjective wellbeing in three indigenous societies",NA
"Galbraith","Eric",NA,"happy just because a crosscultural study on subjective wellbeing in three indigenous societies",NA
"Miñarro","Sara",NA,"happy just because a crosscultural study on subjective wellbeing in three indigenous societies",NA
"Napitupulu","Lucentezza",NA,"happy just because a crosscultural study on subjective wellbeing in three indigenous societies",NA
"Primates","Many",NA,"the evolution of primate shortterm memory",NA
"Frank","Michael","C.","quantifying sources of variability in infancy research using the infantdirected speech preference",NA
"Bergmann","Christina",NA,"quantifying sources of variability in infancy research using the infantdirected speech preference",NA
"Bergelson","Elika",NA,"quantifying sources of variability in infancy research using the infantdirected speech preference",NA
"Byers-Heinlein","Krista",NA,"quantifying sources of variability in infancy research using the infantdirected speech preference",NA
"Cristia","Alejandrina",NA,"quantifying sources of variability in infancy research using the infantdirected speech preference",NA
"Cusack","Rhodri",NA,"quantifying sources of variability in infancy research using the infantdirected speech preference",NA
"Dyck","Kelsey",NA,"quantifying sources of variability in infancy research using the infantdirected speech preference",NA
"floccia","caroline",NA,"quantifying sources of variability in infancy research using the infantdirected speech preference",NA
"Gervain","Judit",NA,"quantifying sources of variability in infancy research using the infantdirected speech preference",NA
"Gonzalez","Nayeli",NA,"quantifying sources of variability in infancy research using the infantdirected speech preference",NA
"Hamlin","Kiley",NA,"quantifying sources of variability in infancy research using the infantdirected speech preference",NA
"Hannon","Erin",NA,"quantifying sources of variability in infancy research using the infantdirected speech preference",NA
"Kellier","Danielle",NA,"quantifying sources of variability in infancy research using the infantdirected speech preference",NA
"Kline","Melissa",NA,"quantifying sources of variability in infancy research using the infantdirected speech preference",NA
"Lew-Williams","Casey",NA,"quantifying sources of variability in infancy research using the infantdirected speech preference",NA
"Nazzi","Thierry",NA,"quantifying sources of variability in infancy research using the infantdirected speech preference",NA
"Panneton","Robin",NA,"quantifying sources of variability in infancy research using the infantdirected speech preference",NA
"Rabagliati","Hugh",NA,"quantifying sources of variability in infancy research using the infantdirected speech preference",NA
"Rennels","Jennifer",NA,"quantifying sources of variability in infancy research using the infantdirected speech preference",NA
"Seidl","Amanda",NA,"quantifying sources of variability in infancy research using the infantdirected speech preference",NA
"Yurovsky","Daniel",NA,"quantifying sources of variability in infancy research using the infantdirected speech preference",NA
"Soderstrom","Melanie",NA,"quantifying sources of variability in infancy research using the infantdirected speech preference",NA
"March","David","Scott","a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Marmolejo-Ramos","Fernando",NA,"a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Larsen","Jeff","T.","a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Reggev","Niv",NA,"a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Mokady","Aviv",NA,"a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Hunter","John",NA,"a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Yuvruk","Elif",NA,"a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Nagy","Tamas",NA,"a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Tejada","Julian",NA,"a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Freitag","Raquel","Meister Ko.","a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Zambrano","Danilo",NA,"a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Som","Bidisha",NA,"a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Adamus","Sylwia",NA,"a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Yamada","Yuki",NA,"a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Ikeda","Ayumi",NA,"a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Eaves","Daniel",NA,"a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Leiweke","Sydney",NA,"a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Parzuchowski","Michal",NA,"a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Butcher","Natalie",NA,"a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Hinojosa","José","Antonio","a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Delgado","Grey","Javela","a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Vezirian","Kevin",NA,"a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Trujillo","Natalia",NA,"a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Pressman","Sarah",NA,"a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Gygax","Pascal",NA,"a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Ruiz-Fernandez","Susana",NA,"a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Ellsworth","Phoebe","C.","a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Gaertner","Lowell",NA,"a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Strack","Fritz",NA,"a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Marozzi","Marco",NA,"a multilab test of the facial feedback hypothesis by the many smiles collaboration",NA
"Fyfe","Emily","R.","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"de Leeuw","Joshua","R.","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Carvalho","Paulo","F.","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Goldstone","Robert","L.","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Sherman","Janelle",NA,"manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Admiraal","David",NA,"manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Alford","Laura","K.","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Bonner","Alison",NA,"manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Brassil","Chad","E.","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Brooks","Christopher","A.","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Carbonetto","Tracey",NA,"manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Chang","Sau","Hou","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Cruz","Laura",NA,"manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Czymoniewicz-Klippel","Melina",NA,"manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Daniel","Frances",NA,"manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Driessen","Michelle",NA,"manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Habashy","Noel",NA,"manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Hanson-Bradley","Carrie","L.","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Hirt","Edward","R.","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Carbonell","Virginia","Hojas","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Jackson","Daniel","K.","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Jones","Shay",NA,"manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Keagy","Jennifer","L.","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Keith","Brandi",NA,"manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Malmquist","Sarah","J.","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"McQuarrie","Barry",NA,"manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Metzger","Kelsey","J.","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Min","Maung","K.","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Patil","Sameer",NA,"manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Patrick","Ryan","S.","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Pelaprat","Etienne",NA,"manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Petrunich-Rutherford","Maureen","L.","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Porter","Meghan","R.","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Prescott","Kristina",NA,"manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Reck","Cathrine",NA,"manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Renner","Terri",NA,"manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Robbins","Eric",NA,"manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Smith","Adam","R.","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Stuczynski","Phil",NA,"manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Thompson","Jaye",NA,"manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Tsotakos","Nikolaos",NA,"manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Turk","Judith","K.","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Unruh","Kyle",NA,"manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Webb","Jennifer","D.","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Whitehead","Stephanie","N.","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Wisniewski","Elaine","C.","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Zhang","Ke","Anne","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Motz","Benjamin","A.","manyclasses 1 assessing the generalizable effect of immediate feedback versus delayed feedback across many college classes",NA
"Botvinik-Nezer","Rotem",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Holzmeister","Felix",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Camerer","Colin","F.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Dreber","Anna",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Huber","Juergen",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Johannesson","Magnus",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Kirchler","Michael",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Iwanir","Roni",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Mumford","Jeanette","A.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Adcock","R.","Alison","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Avesani","Paolo",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Baczkowski","Blazej","M.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Bajracharya","Aahana",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Bakst","Leah",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Ball","Sheryl",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Barilari","Marco",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Bault","Nadège",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Beaton","Derek",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Beitner","Julia",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Benoit","Roland","G.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Berkers","Ruud","M. W. J.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Bhanji","Jamil","P.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Biswal","Bharat","B.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Bobadilla-Suarez","Sebastian",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Bortolini","Tiago",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Bottenhorn","Katherine","L.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Bowring","Alexander",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Braem","Senne",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Brooks","Hayley","R.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Brudner","Emily","G.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Calderon","Cristian","B.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Camilleri","Julia","A.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Castrellon","Jaime","J.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Cecchetti","Luca",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Cieslik","Edna","C.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Cole","Zachary","J.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Collignon","Olivier",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Cox","Robert","W.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Cunningham","William","A.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Czoschke","Stefan",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Dadi","Kamalaker",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Davis","Charles","P.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Luca","Alberto","De","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Delgado","Mauricio","R.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Demetriou","Lysia",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Dennison","Jeffrey","B.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Di","Xin",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Dickie","Erin","W.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Dobryakova","Ekaterina",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Donnat","Claire","L.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Dukart","Juergen",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Duncan","Niall","W.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Durnez","Joke",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Eed","Amr",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Eickhoff","Simon","B.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Erhart","Andrew",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Fontanesi","Laura",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Fricke","G.","Matthew","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Fu","Shiguang",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Galván","Adriana",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Gau","Remi",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Genon","Sarah",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Glatard","Tristan",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Glerean","Enrico",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Goeman","Jelle","J.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Golowin","Sergej","A. E.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"González-García","Carlos",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Gorgolewski","Krzysztof","J.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Grady","Cheryl","L.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Green","Mikella","A.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Guassi Moreira","João","F.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Guest","Olivia",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Hakimi","Shabnam",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Hamilton","J.","Paul","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Hancock","Roeland",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Handjaras","Giacomo",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Harry","Bronson","B.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Hawco","Colin",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Herholz","Peer",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Herman","Gabrielle",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Heunis","Stephan",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Hoffstaedter","Felix",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Hogeveen","Jeremy",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Holmes","Susan",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Huettel","Scott","A.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Hughes","Matthew","E.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Iacovella","Vittorio",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Iordan","Alexandru","D.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Isager","Peder","M.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Isik","Ayse","I.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Jahn","Andrew",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Johnson","Matthew","R.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Johnstone","Tom",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Joseph","Michael","J. E.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Juliano","Anthony","C.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Kable","Joseph","W.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Kassinopoulos","Michalis",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Koba","Cemal",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Kong","Xiang-Zhen",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Koscik","Timothy","R.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Kucukboyaci","Nuri","Erkut","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Kuhl","Brice","A.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Kupek","Sebastian",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Laird","Angela","R.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Langner","Robert",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Lauharatanahirun","Nina",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Lee","Hongmi",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Lee","Sangil",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Leemans","Alexander",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Leo","Andrea",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Lesage","Elise",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Li","Flora",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Li","Monica","Y. C.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Lim","Phui","Cheng","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Lintz","Evan","N.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Liphardt","Schuyler","W.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Losecaat Vermeer","Annabel","B.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Love","Bradley","C.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Mack","Michael","L.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Malpica","Norberto",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Marins","Theo",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Maumet","Camille",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"McDonald","Kelsey",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"McGuire","Joseph","T.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Melero","Helena",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
