"title","author","journal","number","cites","year","cid","pubid","scholar"
"evaluative conditioning with simultaneous and sequential pairings under incidental and intentional learning conditions","C Stahl, T Heycke","Social Cognition","34 (5), 382-412",20,2016,"2983649436741197506","u-x6o8ySG0sC","f_EOpb8AAAAJ"
"no evaluative conditioning effects with briefly presented stimuli","T Heycke, C Stahl","Psychological research","84 (4), 1020-1027",13,2020,"4466140736058277936","7PzlFSSx8tAC","f_EOpb8AAAAJ"
"incidental attitude formation via the surveillance task  a registered replication report of olson and fazio  2001 ","T Moran Yorovich, SJ Hughes, I Hussey, M Vadillo, M Olson, F Aust, ...","Psychological Science","",8,2020,"9564355090449089290","isC4tDSrTZIC","f_EOpb8AAAAJ"
"screen recordings as a tool to document computer assisted data collection procedures","T Heycke, L Spitzer","Psychologica Belgica","59 (1), 269",8,2019,"5644240353213262977,2705576083924193781","ZeXyd9-uunAC","f_EOpb8AAAAJ"
"incidental attitude formation via the surveillance task  a preregistered replication of the olson and fazio  2001  study","T Moran, S Hughes, I Hussey, MA Vadillo, MA Olson, F Aust, K Bading, ...","Psychological Science","32 (1), 120-131",3,2021,"7414943818121358044","HDshCWvjkbEC","f_EOpb8AAAAJ"
"preregistration  videos in peer review of registered reports","L Spitzer, T Heycke","PsychArchives","",1,2020,"7704677570043260708","R3hNpaxXUhUC","f_EOpb8AAAAJ"
"hoarding in science  no thanks  openness and transparency in crisis mode and beyond","RM Rahal, T Heycke","MetaArXiv","",1,2020,"14244483821037344213","TQgYirikUcIC","f_EOpb8AAAAJ"
"contingency awareness in evaluative conditioning  investigations using subliminal stimulus presentations","T Heycke","Universität zu Köln","",1,2018,"3723098519682300362","L8Ckcad2t8MC","f_EOpb8AAAAJ"
"screen recordings as a tool to document computer assisted data collection procedures  a tutorial using the open broadcaster software  obs ","L Spitzer, T Heycke","PsychArchives","",0,2022,NA,"mB3voiENLucC","f_EOpb8AAAAJ"
"gles open science strategie","H Bucher, AK Stroppe, A Burger, T Heycke","DEU","",0,2021,NA,"TFP_iSt0sucC","f_EOpb8AAAAJ"
"of two minds  a registered replication","T Heycke, F Aust, MR Banaji, J Cone, P Van Dessel, M Ferguson, X Hu, ...","PsyArXiv","",0,2020,NA,"hFOr9nPyWt4C","f_EOpb8AAAAJ"
"table displaying the errors flaws that will be used in the study  videos in peer review of registered reports ","L Spitzer, T Heycke","PsychArchives","",0,2020,NA,"e5wmG9Sq2KIC","f_EOpb8AAAAJ"
"preregistration  open science and the public s trust in science","T Rosman, M Bosnjak, H Silber, J Koßmann, T Heycke","PsychArchives","",0,2020,NA,"r0BpntZqJG4C","f_EOpb8AAAAJ"
"documentation of online surveys  version 1 0 ","I Schaurer, T Kunz, T Heycke","DEU","",0,2020,NA,"bEWYMUwI8FkC","f_EOpb8AAAAJ"
"improving the credibility of empirical legal research  practical suggestions for researchers  journals  and law schools","J Chin, AC DeHaven, T Heycke, AO Holcombe, D Mellor, J Pickett, ...","Journals, and Law Schools","",0,2020,NA,"RHpTSmoSYBkC","f_EOpb8AAAAJ"
"exploring the factor structure of a recovery assessment measure among substance abusing youth","R Gonzales, M Hernandez, SB Douglas, CH Yu","Journal of psychoactive drugs","47 (3), 187-196",9,2015,"14061921054669800984","d1gkVwhDpl0C","gdLPsSUAAAAJ"
"ocular reflex phase during off vertical axis rotation in humans is modified by head turn on trunk position","SB Douglas, G Clément, P Denise, SJ Wood","Scientific Reports","7, 42071",6,2017,"10211414586478949502","u-x6o8ySG0sC","gdLPsSUAAAAJ"
"incidental attitude formation via the surveillance task  a preregistered replication of the olson and fazio  2001  study","T Moran, S Hughes, I Hussey, MA Vadillo, MA Olson, F Aust, K Bading, ...","Psychological science","32 (1), 120-131",3,2021,"7414943818121358044","qjMakFHDy7sC","gdLPsSUAAAAJ"
"data visualization of item total correlation by median smoothing","M Yu, C. H., Douglas, S. B., Lee, A., & An","Practical Assessment, Research & Evaluation","21 (1), 1-11",1,2016,"15949090891206913504","9yKSN-GCB0IC","gdLPsSUAAAAJ"
"romantic priming effects on the social desirability and hireability of self promoting women","SB Douglas, J Cole","International Journal of Psychological Studies","8 (4), 121",0,2016,NA,"u5HHmVD_uO8C","gdLPsSUAAAAJ"
"why a standard iat effect cannot provide evidence for association formation  the role of similarity construction","K Bading, C Stahl, K Rothermund","Cognition and Emotion","34 (1), 128-143",29,2020,"8978766973660787216","d1gkVwhDpl0C","Gv2qlmUAAAAJ"
"incidental attitude formation via the surveillance task  a registered replication report of olson and fazio  2001 ","T Moran Yorovich, SJ Hughes, I Hussey, M Vadillo, M Olson, F Aust, ...","Psychological Science","",8,2020,"9564355090449089290","2osOgNQ5qMEC","Gv2qlmUAAAAJ"
"incidental attitude formation via the surveillance task  a preregistered replication of the olson and fazio  2001  study","T Moran, S Hughes, I Hussey, MA Vadillo, MA Olson, F Aust, K Bading, ...","Psychological Science","32 (1), 120-131",3,2021,"7414943818121358044","9yKSN-GCB0IC","Gv2qlmUAAAAJ"
"evaluative conditioning of pattern masked nonwords requires perceptual awareness ","C Stahl, KC Bading","Journal of Experimental Psychology: Learning, Memory, and Cognition","46 (5), 822",3,2020,"8676120296618183751","u-x6o8ySG0sC","Gv2qlmUAAAAJ"
"does mere co occurrence affect evaluation  mpt modelling of relational evaluative conditioning cannot  yet  tell","K Bading","PsychArchives","",0,2022,NA,"UeHWp8X0CEIC","Gv2qlmUAAAAJ"
"does association formation contribute to evaluative conditioning  a review of current methodologies and their findings","K Bading","Universität zu Köln","",0,2021,NA,"qjMakFHDy7sC","Gv2qlmUAAAAJ"
"author note","K Bading, C Stahl, K Rothermund","","",0,NA,NA,"u5HHmVD_uO8C","Gv2qlmUAAAAJ"
"a nationally representative study of emotional competence and health ","M Mikolajczak, H Avalosse, S Vancorenland, R Verniest, M Callens, ...","Emotion","15 (5), 653",157,2015,"6072287347613430477","d1gkVwhDpl0C","gzz2MIEAAAAJ"
"resource availability and explicit memory largely determine evaluative conditioning effects in a paradigm claimed to be conducive to implicit attitude acquisition","A Mierop, M Hütter, O Corneille","Social Psychological and Personality Science","8 (7), 758-767",40,2017,"10353291651314880228","u5HHmVD_uO8C","gzz2MIEAAAAJ"
"perceived organizational support and workplace conflict  the mediating role of failure related trust","G Caesens, F Stinglhamber, S Demoulin, M De Wilde, A Mierop","Frontiers in Psychology","2704",30,2019,"1996523299222052259","zYLM7Y9cAGgC","gzz2MIEAAAAJ"
"how can intranasal oxytocin research be trusted  a systematic review of the interactive effects of intranasal oxytocin on psychosocial outcomes","A Mierop, M Mikolajczak, C Stahl, J Bena, O Luminet, A Lane, O Corneille","Perspectives on Psychological Science","",23,2020,"1795248903627321159","roLk4NBRz8UC","gzz2MIEAAAAJ"
"repetition increases both the perceived truth and fakeness of information  an ecological account","O Corneille, A Mierop, C Unkelbach","Cognition","205, 104470",20,2020,"7644437516312989011","MXK_kJrjxJIC","gzz2MIEAAAAJ"
"does it help to feel your body  evidence is inconclusive that interoceptive accuracy and sensibility help cope with negative experiences","G Zamariola, O Luminet, A Mierop, O Corneille","Cognition and Emotion","",18,2019,"13535405099581734232","Y0pCki6q_DkC","gzz2MIEAAAAJ"
"does attitude acquisition in evaluative conditioning without explicit cs us memory reflect implicit misattribution of affect ","A Mierop, M Hütter, C Stahl, O Corneille","Cognition and Emotion","",9,2018,"7621394673795418020","9yKSN-GCB0IC","gzz2MIEAAAAJ"
"incidental attitude formation via the surveillance task  a registered replication report of olson and fazio  2001 ","T Moran Yorovich, SJ Hughes, I Hussey, M Vadillo, M Olson, F Aust, ...","Psychological Science","",8,2020,"9564355090449089290","ULOm3_A8WrAC","gzz2MIEAAAAJ"
"evidence suggestive of uncontrollable attitude acquisition replicates in an instructions based evaluative conditioning paradigm  implications for associative attitude acquisition","O Corneille, A Mierop, C Stahl, M Hütter","Journal of Experimental Social Psychology","85",8,2019,"2973770121990251745","WF5omc3nYNoC","gzz2MIEAAAAJ"
"field identification iat predicts students  academic persistence over and above theory of planned behavior constructs","N Roland, A Mierop, M Frenay, O Corneille","Frontline Learning Research","",7,2018,"10189240267142329825","qjMakFHDy7sC","gzz2MIEAAAAJ"
"cognitive load impairs evaluative conditioning  even when individual cs and us stimuli are successfully encoded","A Mierop, P Maurage, O Corneille","International Review of Social Psychology","",5,2020,"15999612036577050864","LkGwnXOMwfcC","gzz2MIEAAAAJ"
"incidental attitude formation via the surveillance task  a preregistered replication of the olson and fazio  2001  study","T Moran, S Hughes, I Hussey, MA Vadillo, MA Olson, F Aust, K Bading, ...","Psychological Science","32 (1), 120-131",3,2021,"7414943818121358044","Se3iqnhoufwC","gzz2MIEAAAAJ"
"evaluative influences of cs us pairings are non reciprocal","A Mierop, A Bret, R Dumas, V Yzerbyt, O Corneille","Social Psychology Bulletin","14 (1)",3,2019,"10694062248030690232","eQOLeE2rZwMC","gzz2MIEAAAAJ"
"response production during extinction training is not sufficient for extinction of evaluative conditioning","A Mierop, M Mikael, O Corneille","Cognition and Emotion","",3,2018,"3271212034032676772","IjCSPb-OGe4C","gzz2MIEAAAAJ"
"robustness tests provide further support for an ecological account of the truth and fake news by repetition effects","J Béna, O Corneille, A Mierop, C Unkelbach","PsyArXiv","",1,2021,"4899346746491802595","KlAtU1dfN6UC","gzz2MIEAAAAJ"
"moving beyond the process dissociation procedure towards fine grained memory and attitude measures in evaluative conditioning","C Stahl, F Aust, A Mierop, J Bena, O Corneille","PsyArXiv","",1,2020,"14584227257928748879","3fE2CSJIrl8C","gzz2MIEAAAAJ"
"revisiting dissociation hypotheses with a structural fit approach  the case of the prepared reflex framework","J Béna, DE Melnikoff, A Mierop, O Corneille","Journal of Experimental Social Psychology","100, 104297",0,2022,NA,"YOwf2qJgpHMC","gzz2MIEAAAAJ"
"  repetition increases both the perceived truth and fakeness of information  an ecological account   corrigendum ","O Corneille, A Mierop, C Unkelbach","Elsevier Science","",0,2022,NA,"_kc_bZDykSQC","gzz2MIEAAAAJ"
"corrigendum to  repetition increases both the perceived truth and fakeness of information  an ecological account  cognition  205  2020  1 6 104470 ","O Corneille, A Mierop, C Unkelbach","Cognition","220",0,2022,NA,"Zph67rFs4hoC","gzz2MIEAAAAJ"
"differentiated evaluation of counter conditioned stimuli as a function of right wing authoritarianism","A Bret, B Beffara, A Mierop, M Mermillod","Social Psychological Bulletin","16 (2), 1-26",0,2021,NA,"2osOgNQ5qMEC","gzz2MIEAAAAJ"
"conditioned to like brands and mindless models","I Herak, N Kervyn de Meerendré, A Mierop, M Thomson","","",0,2018,NA,"UebtZRa9Y70C","gzz2MIEAAAAJ"
"how associative is evaluative conditioning  an empirical investigation at the attitude acquisition and attitude change stages","A Mierop","Thesis Commons","",0,2018,NA,"W7OEmFMy1HYC","gzz2MIEAAAAJ"
"effets de genre dans l évaluation de prénoms en fonction de l importance que les individus accordent aux traits de compétence et sociabilité","S Demoulin, CP Teixeira, A Mierop","","11ième Congrès International de Psychologie Sociale en Langue Française",0,2016,NA,"kNdYIx-mwKoC","gzz2MIEAAAAJ"
"right wing authoritarianism predicts weakened attitude change in an evaluative counter conditioning paradigm","A Bret, A Mierop, B Beffara, M Mermillod, O Corneille","","",0,NA,NA,"0EnyYjriUFMC","gzz2MIEAAAAJ"
"louvain research institute in management and organizations","A Mierop","","",0,NA,NA,"hqOjcs7Dif8C","gzz2MIEAAAAJ"
"peut on former des attitudes de manière incontrôlable  un examen empirique du rôle des instructions de contrôle dans le conditionnement évaluatif ","R Wüst, S Thomé, O Corneille, A Mierop","","",0,NA,NA,"_FxGoFyzp5QC","gzz2MIEAAAAJ"
"mes opinions me poussent elles à généraliser  autoritarisme et propagation des attitudes au travers du conditionnement évaluatif","S Laurant, O Corneille, A Mierop","","",0,NA,NA,"ufrVoPGSRksC","gzz2MIEAAAAJ"
"the truth about the truth  a meta analytic review of the truth effect","A Dechêne, C Stahl, J Hansen, M Wänke","Personality and Social Psychology Review","14 (2), 238-257",424,2010,"15308634098326491062","Wp0gIr-vW9MC","hMOtOAQAAAAJ"
"behavioral components of impulsivity ","C Stahl, A Voss, F Schmitz, M Nuszbaum, O Tüscher, K Lieb, KC Klauer","Journal of Experimental Psychology: General","143 (2), 850",307,2014,"16590704122462450352","JV2RwH3_ST0C","hMOtOAQAAAAJ"
"the role of shifting  updating  and inhibition in prospective memory performance in young and older adults ","KM Schnitzspahn, C Stahl, M Zeintl, CP Kaller, M Kliegel","Developmental psychology","49 (8), 1544",186,2013,"17136628125185513594","bEWYMUwI8FkC","hMOtOAQAAAAJ"
"on the respective contributions of awareness of us valence and us identity in valence acquisition through evaluative conditioning","C Stahl, C Unkelbach, O Corneille","Journal of Personality and Social Psychology","97 (3), 404-420",170,2009,"4124506088109698634,12617417709978166992","M3ejUd6NZC8C","hMOtOAQAAAAJ"
"dissociating contingency awareness and conditioned attitudes  evidence of contingency unaware evaluative conditioning ","M Hütter, S Sweldens, C Stahl, C Unkelbach, KC Klauer","Journal of Experimental Psychology: General","141 (3), 539",163,2012,"1297918137472670363","HDshCWvjkbEC","hMOtOAQAAAAJ"
"disentangling common and specific neural subprocesses of response inhibition","A Sebastian, MF Pohl, S Klöppel, B Feige, T Lange, C Stahl, A Voss, ...","Neuroimage","64, 601-615",154,2013,"9518111043939294879","iH-uZ7U-co4C","hMOtOAQAAAAJ"
"impulsivity in borderline personality disorder  impairment in self report measures  but not behavioral inhibition","GA Jacob, L Gutz, K Bader, K Lieb, O Tüscher, C Stahl","Psychopathology","43 (3), 180-188",130,2010,"1282911390062921402","7PzlFSSx8tAC","hMOtOAQAAAAJ"
"hmmtree  a computer program for latent class hierarchical multinomial processing tree models","C Stahl, KC Klauer","Behavior Research Methods","39 (2), 267-273",125,2007,"3458216500548433816","Zph67rFs4hoC","hMOtOAQAAAAJ"
"mix me a list  context moderates the truth effect and the mere exposure effect","A Dechêne, C Stahl, J Hansen, M Wänke","Journal of Experimental Social Psychology","45 (5), 1117-1122",112,2009,"8743924910225337083","QIV2ME_5wuYC","hMOtOAQAAAAJ"
"a multinomial modeling approach to dissociate different components of the truth effect","C Unkelbach, C Stahl","Consciousness and cognition","18 (1), 22-38",102,2009,"15770081765719043491","mVmsd5A6BfQC","hMOtOAQAAAAJ"
"associative attitude learning  a closer look at evidence and how it relates to attitude models","O Corneille, C Stahl","Personality and Social Psychology Review","23 (2), 161-189",100,2019,"7869628795942081741","mo9XK3BEATIC","hMOtOAQAAAAJ"
"evaluative learning with single versus multiple unconditioned stimuli  the role of contingency awareness ","C Stahl, C Unkelbach","Journal of Experimental Psychology: Animal Behavior Processes","35 (2), 286",99,2009,"11808567746446238556","ULOm3_A8WrAC","hMOtOAQAAAAJ"
"assessing planning ability with the tower of london task  psychometric properties of a structurally balanced problem set ","CP Kaller, JM Unterrainer, C Stahl","Psychological Assessment","24 (1), 46",93,2012,"2275485609275097756","R3hNpaxXUhUC","hMOtOAQAAAAJ"
"a simplified conjoint recognition paradigm for the measurement of gist and verbatim memory ","C Stahl, KC Klauer","Journal of Experimental Psychology: Learning, Memory, and Cognition","34 (3), 570",75,2008,"480023344075094173","qxL8FJ1GzNcC","hMOtOAQAAAAJ"
"the abstract selection task  new data and an almost comprehensive model ","KC Klauer, C Stahl, E Erdfelder","Journal of Experimental Psychology: Learning, Memory, and Cognition","33 (4), 680",75,2007,"4032877776517098904","YOwf2qJgpHMC","hMOtOAQAAAAJ"
"assessing automatic activation of valence  a multinomial model of east performance","C Stahl, J Degner","Experimental Psychology","54 (2), 99-112",65,2007,"7875302249880890112","4TOpqqG69KYC","hMOtOAQAAAAJ"
"software for generating psychological experiments","C Stahl","Experimental Psychology","53 (3), 218-232",61,2006,"674351682250207217","_kc_bZDykSQC","hMOtOAQAAAAJ"
"subliminal evaluative conditioning  above chance cs identification may be necessary and insufficient for attitude learning ","C Stahl, J Haaf, O Corneille","Journal of Experimental Psychology: General","145 (9), 1107",47,2016,"4845725156219519932","beqBT5984LEC","hMOtOAQAAAAJ"
"fluency and positivity as possible causes of the truth effect","C Unkelbach, M Bayer, H Alves, A Koch, C Stahl","Consciousness and cognition","20 (3), 594-602",45,2011,"5679856653882637707","IWHjjKOFINEC","hMOtOAQAAAAJ"
"development of planning abilities in normal aging  differential effects of specific cognitive demands ","L Köstering, C Stahl, R Leonhart, C Weiller, CP Kaller","Developmental Psychology","50 (1), 293",37,2014,"5436974142917268825","TFP_iSt0sucC","hMOtOAQAAAAJ"
"how to make your own response boxes  a step by step guide for the construction of reliable and inexpensive parallel port response pads from computer mice","A Voss, R Leonhart, C Stahl","Behavior Research Methods","39 (4), 797-801",36,2007,"6898521340984243090","4DMP91E08xMC","hMOtOAQAAAAJ"
"measuring phantom recollection in the simplified conjoint recognition paradigm","C Stahl, KC Klauer","Journal of Memory and Language","60 (1), 180-193",34,2009,"6695178188154929064","9ZlFYXVOiuMC","hMOtOAQAAAAJ"
"selective impairment of auditory selective attention under concurrent cognitive load ","K Dittrich, C Stahl","Journal of Experimental Psychology: Human Perception and Performance","38 (3), 618",30,2012,"5316324319326150779","mB3voiENLucC","hMOtOAQAAAAJ"
"why a standard iat effect cannot provide evidence for association formation  the role of similarity construction","K Bading, C Stahl, K Rothermund","Cognition and Emotion","34 (1), 128-143",29,2020,"8978766973660787216","Q_E8KsG3g9MC","hMOtOAQAAAAJ"
"a memory based judgment account of expectancy liking dissociations in evaluative conditioning ","F Aust, JM Haaf, C Stahl","Journal of Experimental Psychology: Learning, Memory, and Cognition","45 (3), 417",27,2019,"5221720011163968759","O0MA3yP7Y3UC","hMOtOAQAAAAJ"
"of two minds or one  a registered replication of rydell et al  2006 ","T Heycke, S Gehrmann, JM Haaf, C Stahl","Cognition and Emotion","32 (8), 1708-1727",27,2018,"11519044206717495927","Wqn_fehR_TUC","hMOtOAQAAAAJ"
"analyzing distributional properties of interference effects across modalities  chances and challenges","K Dittrich, D Kellen, C Stahl","Psychological Research","78 (3), 387-399",26,2014,"17273816402286278902","RdUpO4xyVKMC","hMOtOAQAAAAJ"
"subliminal influence on preferences  a test of evaluative conditioning for brief visual conditioned stimuli using auditory unconditioned stimuli","T Heycke, F Aust, C Stahl","Royal Society Open Science","4 (9), 160935",25,2017,"15801537497882253003","rp474-M6Y4oC","hMOtOAQAAAAJ"
"evaluative conditioning as memory based judgment","C Stahl, F Aust","Social Psychological Bulletin","13 (3), 1-30",24,2018,"9416226073453306649","KKBjqD86ppkC","hMOtOAQAAAAJ"
"dissociable stages of problem solving  i   temporal characteristics revealed by eye movement analyses","K Nitschke, N Ruh, S Kappler, C Stahl, CP Kaller","Brain and cognition","80 (1), 160-169",24,2012,"6275790290510513880","4JMBOYKVnBMC","hMOtOAQAAAAJ"
"how can intranasal oxytocin research be trusted  a systematic review of the interactive effects of intranasal oxytocin on psychosocial outcomes","A Mierop, M Mikolajczak, C Stahl, J Béna, O Luminet, A Lane, O Corneille","Perspectives on Psychological Science","15 (5), 1228-1242",23,2020,"1795248903627321159","ZYLUaBFA95QC","hMOtOAQAAAAJ"
"cognitive methods in social psychology","KC Klauer, A Voss, C Stahl","Guilford Press","",22,2012,"10428504281251136222","TQgYirikUcIC","hMOtOAQAAAAJ"
"explaining age differences in working memory  the role of updating  inhibition  and shifting ","S Zuber, A Ihle, VM Loaiza, KM Schnitzspahn, C Stahl, LH Phillips, ...","Psychology & Neuroscience","12 (2), 191",21,2019,"12516571941866758370","nbnL2fqDbzcC","hMOtOAQAAAAJ"
"evaluative conditioning with simultaneous and sequential pairings under incidental and intentional learning conditions","C Stahl, T Heycke","Social Cognition","34 (5), 382-412",20,2016,"2983649436741197506","gI9wzKcniAoC","hMOtOAQAAAAJ"
"matching bias in the selection task is not eliminated by explicit negations","C Stahl, KC Klauer, E Erdfelder","Thinking & Reasoning","14 (3), 281-303",19,2008,"14489929048583812742","L8Ckcad2t8MC","hMOtOAQAAAAJ"
"multinomiale verarbeitungs baummodelle in der sozialpsychologie","C Stahl","Zeitschrift für Sozialpsychologie","37 (3), 161-171",17,2006,"8058629073728963389","dhFuZR0502QC","hMOtOAQAAAAJ"
"lernen assoziationsbildung  konditionierung und implizites lernen","I Koch, C Stahl","Allgemeine Psychologie","319-355",16,2017,"285286544516441108","tL5YfqkXb3gC","hMOtOAQAAAAJ"
"differential patterns of planning impairments in parkinson s disease and sub clinical signs of dementia  a latent class model based approach","L Köstering, A McKinlay, C Stahl, CP Kaller","PloS one","7 (6), e38855",16,2012,"16099348673702109036","RHpTSmoSYBkC","hMOtOAQAAAAJ"
"multinomial models and diffusion models ","KC Klauer, C Stahl, A Voss","The Guilford Press","",16,2011,"4589606802625260636","RmcNAhKkducC","hMOtOAQAAAAJ"
"nonconcurrently presented auditory tones reduce distraction","K Dittrich, C Stahl","Attention, Perception, & Psychophysics","73 (3), 714-719",14,2011,"11154959389380412542","hC7cP41nSMkC","hMOtOAQAAAAJ"
"no evaluative conditioning effects with briefly presented stimuli","T Heycke, C Stahl","Psychological research","84 (4), 1020-1027",13,2020,"4466140736058277936","it4f3qIuXWYC","hMOtOAQAAAAJ"
"planning decrements in healthy aging  mediation effects of fluid reasoning and working memory capacity","L Köstering, R Leonhart, C Stahl, C Weiller, CP Kaller","Journals of Gerontology Series B: Psychological Sciences and Social Sciences …","",13,2016,"13575422914551983589","_TjUWtciUekC","hMOtOAQAAAAJ"
"repetition is good  an internet trial on the illusory truth effect in schizophrenia and nonclinical participants","S Moritz, U Köther, TS Woodward, R Veckenstedt, A Dechêne, C Stahl","Journal of behavior therapy and experimental psychiatry","43 (4), 1058-1063",13,2012,"7941413837020054274","_Qo2XoVZTnwC","hMOtOAQAAAAJ"
"changing cs features alters evaluative responses in evaluative conditioning","C Unkelbach, C Stahl, S Förderer","Learning and Motivation","43 (3), 127-134",13,2012,"14694052982060491482","j3f4tGmQtD8C","hMOtOAQAAAAJ"
"emotion and false memory  the cornell cortland norms","CJ Brainerd, Y Yang, MP Toglia, VF Reyna, C Stahl","","",11,2008,"4830725704104169346","6ScxedgR18sC","hMOtOAQAAAAJ"
"enkodierung erwartungskongruenter und erwartungsinkongruenter information","C Stahl","Freiburg (Breisgau), Univ., Diss.","2004",10,2004,"6316805619767630918","qUcmZB5y_30C","hMOtOAQAAAAJ"
"does attitude acquisition in evaluative conditioning without explicit cs us memory reflect implicit misattribution of affect ","A Mierop, M Hütter, C Stahl, O Corneille","Cognition and Emotion","33 (2), 173-184",9,2019,"7621394673795418020","G887dSk7Sz8C","hMOtOAQAAAAJ"
"incidental attitude formation via the surveillance task  a registered replication report of olson and fazio  2001 ","T Moran Yorovich, SJ Hughes, I Hussey, M Vadillo, M Olson, F Aust, ...","Psychological Science","",8,2020,"9564355090449089290","RZBefGmQYygC","hMOtOAQAAAAJ"
"evidence suggestive of uncontrollable attitude acquisition replicates in an instructions based evaluative conditioning paradigm  implications for associative attitude acquisition","O Corneille, A Mierop, C Stahl, M Huetter","Journal of Experimental Social Psychology","85, 103841",8,2019,"2973770121990251745","URGbnSt0D2cC","hMOtOAQAAAAJ"
"experimental psychology","C Stahl","Experimental psychology","",8,2014,"10271640251774039810,724612569954052273,12136920832464255199","nj26e0utjpAC","hMOtOAQAAAAJ"
"distorted estimates of implicit and explicit learning in applications of the process dissociation procedure to the srt task","C Stahl, M Barth, H Haider","Consciousness and Cognition","37, 27-43",7,2015,"16137146475220989412","w9ZB08sdvuUC","hMOtOAQAAAAJ"
"two distinct patterns of interference in between attribute stroop matching tasks","K Dittrich, C Stahl","Attention, Perception, & Psychophysics","79 (2), 563-581",6,2017,"4004533607018138791","Weau3kkTRIMC","hMOtOAQAAAAJ"
"new directions in multinomial modeling","C Stahl, T Meiser","Zeitschrift für Psychologie/Journal of Psychology","217 (3), 105-107",5,2009,"373826304484231852","ZeXyd9-uunAC","hMOtOAQAAAAJ"
"assumptions of the process dissociation procedure are violated in implicit sequence learning ","M Barth, C Stahl, H Haider","Journal of Experimental Psychology: Learning, Memory, and Cognition","45 (4), 641",4,2019,"3774767447975760702","h-xndbdg2koC","hMOtOAQAAAAJ"
"false memory for perceptually similar but conceptually distinct line drawings","C Stahl, F Aust","PsyArXiv","",4,2016,"4915080409832104218","tfDI-GPdlUQC","hMOtOAQAAAAJ"
"incidental attitude formation via the surveillance task  a preregistered replication of the olson and fazio  2001  study","T Moran, S Hughes, I Hussey, MA Vadillo, MA Olson, F Aust, K Bading, ...","Psychological Science","32 (1), 120-131",3,2021,"7414943818121358044","rUnQDpM0TEQC","hMOtOAQAAAAJ"
"evaluative conditioning of pattern masked nonwords requires perceptual awareness ","C Stahl, KC Bading","Journal of Experimental Psychology: Learning, Memory, and Cognition","46 (5), 822",3,2020,"8676120296618183751","uoeYKOKFegwC","hMOtOAQAAAAJ"
"evaluative conditioning in the surveillance paradigm is moderated by awareness exclusion criteria","C Stahl, O Corneille","PsyArXiv","",3,2020,"12214763524933772819","3jqAvCjcdfEC","hMOtOAQAAAAJ"
"similarity based and rule based generalisation in the acquisition of attitudes via evaluative conditioning","F Högden, C Stahl, C Unkelbach","Cognition and Emotion","",3,2019,"13724276661894616410","dJ_BR67V0s4C","hMOtOAQAAAAJ"
"the enhancing effect of 200 mg caffeine on mnemonic discrimination is at best small","F Aust, C Stahl","Memory","28 (7), 858-869",2,2020,"2145144019117160070","TewouNez5YAC","hMOtOAQAAAAJ"
"multinomial processing tree models in social psychology","C Stahl","ZEITSCHRIFT FUR SOZIALPSYCHOLOGIE","37 (3), 161-171",2,2006,"18069748282380730236","rCzfLUpcSPoC","hMOtOAQAAAAJ"
"unaware attitude formation in the surveillance task  revisiting the findings of moran et al  2021 ","B Kurdi, I Hussey, C Stahl, S Hughes, C Unkelbach, M Ferguson, ...","PsyArXiv","",1,2020,"9178405999232043018","H-3wYkpcA84C","hMOtOAQAAAAJ"
"moving beyond the process dissociation procedure towards fine grained memory and attitude measures in evaluative conditioning","C Stahl, F Aust, A Mierop, J Bena, O Corneille","PsyArXiv","",1,2020,"14584227257928748879","UEFpDhwOD2kC","hMOtOAQAAAAJ"
"the effect of incongruency and cognitive load on short term verbatim and gist memory in the conjoint recognition paradigm","C Stahl, KC Klauer","PsyArXiv","",1,2018,"9590393244444955781","NKlx0PmyA3cC","hMOtOAQAAAAJ"
"toward a questionnaire to assess biology student teachers  knowledge of the nature of scientific inquiry  nosi ","CC Wacker, M Barth, C Stahl, K Schlüter","Current Research in Biology Education","59-70",0,2022,NA,"f13iAvnbnnYC","hMOtOAQAAAAJ"
"of two minds  a registered replication","T Heycke, F Aust, MR Banaji, J Cone, P Van Dessel, M Ferguson, X Hu, ...","PsyArXiv","",0,2020,NA,"q7LczdTNAjsC","hMOtOAQAAAAJ"
"matching bias in the selection task is not eliminated by explicit negations  vol 14  pg 281  2008 ","C Stahl, KC Klauer, E Erdfelder","THINKING & REASONING","23 (3), 318-319",0,2017,NA,"FwTEoIZreccC","hMOtOAQAAAAJ"
"crossmodal evaluative conditioning with briefly presented visual conditioned stimuli","T Heycke, F Aust, C Stahl","PsyArXiv","",0,2016,NA,"-c_eYhz9dBkC","hMOtOAQAAAAJ"
"a registered replication of rydell et al  2006 ","T Heycke, S Gehrmann, J Haaf, C Stahl","","",0,2016,NA,"wH03y5nBhxsC","hMOtOAQAAAAJ"
"effects of explicit reference to learning contexts on the extinction of evaluative conditioning effects and us expectancy","F Aust, J Haaf, C Stahl","","",0,2016,NA,"ZZwcLRaXOV4C","hMOtOAQAAAAJ"
"call for papers  experimental psychology","C Stahl","Experimental Psychology","63 (3), 196-196",0,2016,NA,"LNjCCq68lIgC","hMOtOAQAAAAJ"
"experimental psychology  new standards ","C Stahl","Hogrefe Publishing","62 (1), 1",0,2015,NA,"GdZ7R06HQM4C","hMOtOAQAAAAJ"
